title,description,url,course_number,topics,instructors,availability,year
Advances in Computer Vision,"This course dives into advanced concepts in computer vision. A first focus is geometry in computer vision, including image formation, representation theory for vision, classic multi-view geometry, multi-view geometry in the age of deep learning, differentiable rendering, neural scene representations, correspondence estimation, optical flow computation, and point tracking. Next, we explore generative modeling and representation learning including image and video generation, guidance in diffusion models, and conditional probabilistic models, as well as representation learning in the form of contrastive and masking-based methods. Finally, we will explore the intersection of robotics and computer vision with “vision for embodied agents,” investigating the role of vision for decision-making, planning and control.",https://ocw.mit.edu/courses/6-8300-advances-in-computer-vision-spring-2025/,6-8300,"Data Science, Analytics & Computer Technology; AI; Machine Learning; Computer Science; Engineering",Prof. Vincent Sitzmann,Anytime,2025
Affective Computing,"This course instructs students on how to develop technologies that help people measure and communicate emotion, that respectfully read and that intelligently respond to emotion, and have internal mechanisms inspired by the useful roles emotions play.",https://ocw.mit.edu/courses/mas-630-affective-computing-fall-2015/,MAS-630,"Data Science, Analytics & Computer Technology; AI; Machine Learning; Computer Science; Social Sciences; Psychology; Science & Math; Cognitive Science; Engineering",Prof. Rosalind W. Picard,Anytime,2015
AI 101,"Machine vision. Data wrangling. Reinforcement learning. What do these terms even mean? In AI 101, MIT researcher Brandon Leshchinskiy offers an introduction to artificial intelligence that’s designed specifically for those with little to no background in the subject. The workshop starts with a summary of key concepts in AI, followed by an interactive exercise where participants train their own algorithm. Finally, it closes with a summary of key takeaways and Q/A. All are welcome!",https://ocw.mit.edu/courses/res-6-013-ai-101-fall-2021/,RES-6-013,"Data Science, Analytics & Computer Technology; AI; Machine Learning; Computer Science; Engineering",Brandon Leshchinskiy,Anytime,2021
Ambient Intelligence,"This course will provide an overview of a new vision for Human-Computer Interaction (HCI) in which people are surrounded by intelligent and intuitive interfaces embedded in the everyday objects around them. It will focus on understanding enabling technologies and studying applications and experiments, and, to a lesser extent, it will address the socio-cultural impact. Students will read and discuss the most relevant articles in related areas: smart environments, smart networked objects, augmented and mixed realities, ubiquitous computing, pervasive computing, tangible computing, intelligent interfaces and wearable computing. Finally, they will be asked to come up with new ideas and start innovative projects in this area.",https://ocw.mit.edu/courses/mas-961-ambient-intelligence-spring-2005/,MAS-961,"Data Science, Analytics & Computer Technology; AI; User Experience; Machine Learning; Computer Science; Art, Design & Architecture; Media Studies; Engineering",Prof. Patricia Maes,Anytime,2005
Artificial Intelligence,"This course introduces students to the basic knowledge representation, problem solving, and learning methods of artificial intelligence. Upon completion of 6.034, students should be able to develop intelligent systems by assembling solutions to concrete computational problems; understand the role of knowledge representation, problem solving, and learning in intelligent-system engineering; and appreciate the role of problem solving, vision, and language in understanding human intelligence from a computational perspective.",https://ocw.mit.edu/courses/6-034-artificial-intelligence-fall-2010/,6-034,"Data Science, Analytics & Computer Technology; AI; Algorithms and Data Structures; Machine Learning; Computer Science; Engineering",Patrick Henry Winston,Anytime,2010
Autonomous Robot Design Competition,"6.270 is a hands-on, learn-by-doing class, in which participants design and build a robot that will play in a competition at the end of January. The goal for the students is to design a machine that will be able to navigate its way around the playing surface, recognize other opponents, and manipulate game objects. Unlike the machines in Design and Manufacturing I (2.007), 6.270 robots are totally autonomous, so once a round begins, there is no human intervention. The goal of 6.270 is to teach students about robotic design by giving them the hardware, software, and information they need to design, build, and debug their own robot. The subject includes concepts and applications that are related to various MIT classes (e.g. 6.001, 6.002, 6.004, and 2.007), though there are no formal prerequisites for 6.270.",https://ocw.mit.edu/courses/6-270-autonomous-robot-design-competition-january-iap-2005/,6-270,"Data Science, Analytics & Computer Technology; AI; Software Design and Engineering; Machine Learning; Computer Science; Engineering; Electrical Engineering",Michael Thilmont,Anytime,2005
"Brains, Minds and Machines Summer Course","This course explores the problem of intelligence—its nature, how it is produced by the brain and how it could be replicated in machines—using an approach that integrates cognitive science, which studies the mind; neuroscience, which studies the brain; and computer science and artificial intelligence, which study the computations needed to develop intelligent machines. Materials are drawn from the Brains, Minds and Machines Summer Course offered annually at the Marine Biological Laboratory in Woods Hole, MA, taught by faculty affiliated with the Center for Brains, Minds and Machines headquartered at MIT. Elements of the summer course are integrated into the MIT course, 9.523 Aspects of a Computational Theory of Intelligence. Contributors This course includes the contributions of many instructors, guest speakers, and a team of iCub researchers. See the complete list of contributors.",https://ocw.mit.edu/courses/res-9-003-brains-minds-and-machines-summer-course-summer-2015/,RES-9-003,"Data Science, Analytics & Computer Technology; AI; Machine Learning; Computer Science; Social Sciences; Psychology; Science & Math; Biology; Cognitive Science; Health & Medicine; Biomedical Technologies; Engineering; Electrical Engineering",Prof. Tomaso Poggio; Prof. Gabriel Kreiman,Anytime,2015
Brave New Planet,"Utopia or dystopia? It’s up to us. In the 21st century, powerful technologies have been appearing at a breathtaking pace—related to the internet, artificial intelligence, genetic engineering, and more. They have amazing potential upsides, but we can’t ignore the serious risks that come with them. Brave New Planet is a podcast that delves deep into the most exciting and challenging scientific frontiers, helping us understand them and grapple with their implications. Dr. Eric Lander, president and founding director of the Broad Institute of MIT and Harvard, is a geneticist, molecular biologist, and mathematician who was a leader of the Human Genome Project and for eight years served as a science advisor to the White House for President Obama. He’s also the host of Brave New Planet , and he’s talked to leading researchers, journalists, doctors, policy makers, activists, and legal experts to illuminate how this generation’s choices will shape the future as never before. Brave New Planet is a partnership between the Broad Institute, Pushkin Industries, and the Boston Globe.",https://ocw.mit.edu/courses/res-7-003-brave-new-planet-fall-2020/,RES-7-003,"Data Science, Analytics & Computer Technology; AI; Machine Learning; Computer Science; Social Sciences; Policy and Administration; Science & Math; Biology; Philosophy; Earth Science; Energy, Climate & Sustainability; Energy; Climate Science; Engineering; Humanities",Prof. Eric Lander,Anytime,2020
Cognitive Robotics,"This is a class about applying autonomy to real-world systems. The overarching theme uniting the many different topics in this course will center around programming a cognitive robotic. This class takes the approach of introducing new reasoning techniques and ideas incrementally. We start with the current paradigm of programming you’re likely familiar with, and evolve it over the semester—continually adding in new features and reasoning capabilities—ending with a robust, intelligent system. These techniques and topics will include algorithms for allowing a robot to: Monitor itself for potential problems (both observable and hidden), scheduling tasks in time, coming up with novel plans to achieve desired goals over time, dealing with the continuous world, collaborating with other (autonomous) agents, dealing with risk, and more.",https://ocw.mit.edu/courses/16-412j-cognitive-robotics-spring-2016/,16-412J,"Data Science, Analytics & Computer Technology; AI; Machine Learning; Computer Science; Engineering; Electrical Engineering",Prof. Brian Charles Williams,Anytime,2016
Collaborative Data Science for Healthcare,"This course provides an introductory survey of data science tools in healthcare. It was created by members of MIT Critical Data, a global consortium consisting of healthcare practitioners, computer scientists, and engineers from academia, industry, and government, that seeks to place data and research at the front and center of healthcare operations. The most daunting global health issues right now are the result of interconnected crises. In this course, we highlight the importance of a multidisciplinary approach to health data science. It is intended for front-line clinicians and public health practitioners, as well as computer scientists, engineers, and social scientists, whose goal is to understand health and disease better using digital data captured in the process of care. What you’ll learn: Principles of data science as applied to health Analysis of electronic health records Artificial intelligence and machine learning in healthcare This course is part of the Open Learning Library, which is free to use. You have the option to sign up and enroll in the course if you want to track your progress, or you can view and use all the materials without enrolling.",https://ocw.mit.edu/courses/hst-953-collaborative-data-science-for-healthcare-fall-2020/,HST-953,"Data Science, Analytics & Computer Technology; AI; Machine Learning; Computer Science; Data Science; Health & Medicine; Health Care Management; Public Health; Engineering",Dr. Leo A Celi; Dr. Louis Agha-Mir-Salim; Marie-Laure Charpignon,Anytime,2020
